,City,Value
0,"Arden-Arcade, CA",1
1,"Citrus Heights, CA",1
2,"Roseville, CA",1
3,"Davis, CA",1
4,"Glendale, CA",1
5,"Pasadena, CA",1
6,"Burbank, CA",1
7,"Menifee, CA",2
8,"Riverside, CA",2
9,"Jurupa Valley, CA",2
10,"Bakersfield, CA",2
11,"Hesperia, CA",2
12,"Apple Valley, CA",3
13,"Victorville, CA",3
14,"Scottsdale, AZ",3
15,"Henderson, NV",3
16,"Indio, CA",3
17,"Hemet, CA",3
18,"Las Cruces, NM",4
19,"North Las Vegas, NV",4
20,"Modesto, CA",4
21,"Turlock, CA",4
22,"Corona, CA",4
23,"Anaheim, CA",4
24,"Garden Grove, CA",4
25,"Fullerton, CA",4
26,"Norwalk, CA",4
27,"Buena Park, CA",4
28,"Saint George, UT",5
29,"Lancaster, CA",5
30,"Palmdale, CA",5
31,"Los Angeles, CA",6
32,"East Los Angeles, CA",6
33,"South Gate, CA",6
34,"San Tan Valley, AZ",6
35,"Rio Rancho, NM",6
36,"Murrieta, CA",7
37,"Thornton, CO",7
38,"Merced, CA",7
39,"Pomona, CA",7
40,"Sunnyvale, CA",7
41,"Mountain View, CA",7
42,"San Bernardino, CA",8
43,"Redlands, CA",8
44,"Rialto, CA",8
45,"Lynwood, CA",8
46,"Inglewood, CA",8
47,"Compton, CA",8
48,"Hawthorne, CA",8
49,"Pleasanton, CA",9
50,"Livermore, CA",9
51,"Chino, CA",9
52,"Chino Hills, CA",9
53,"San Ramon, CA",9
54,"El Cajon, CA",10
55,"Vacaville, CA",10
56,"Visalia, CA",10
57,"Folsom, CA",10
58,"Elk Grove, CA",10
59,"Rancho Cordova, CA",10
60,"Sacramento, CA",11
61,"Roswell, NM",11
62,"Stockton, CA",11
63,"Tracy, CA",11
64,"Manteca, CA",11
65,"Yuma, AZ",11
66,"Boca Raton, FL",12
67,"Boynton Beach, FL",12
68,"Surprise, AZ",12
69,"Glendale, AZ",12
70,"Peoria, AZ",12
71,"Longmont, CO",12
72,"Midland, TX",13
73,"Santa Monica, CA",13
74,"Brandon, FL",13
75,"Moreno Valley, CA",13
76,"Perris, CA",13
77,"Temecula, CA",13
78,"El Monte, CA",14
79,"West Covina, CA",14
80,"Whittier, CA",14
81,"Alhambra, CA",14
82,"Baldwin Park, CA",14
83,"Concord, CA",14
84,"Antioch, CA",14
85,"Fort Collins, CO",15
