City,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points
"SPRINGDALE, AR",3.0,3.2,3.0
"ENID, OK",,,
"DUBUQUE, IA",,2.4,0.5
"SOUTH BEND, IN",,2.9,0.6
"CRESTED BUTTE, CO",,3.6,0.7
"KALAMAZOO, MI",,2.8,0.6
"SPRINGFIELD, MO",,2.7,0.5
"SAN JUAN CAPISTRANO, CA",,1.7,0.3
"CHARLOTTESVILLE, VA",,2.4,0.5
"BENTONVILLE, AR",3.7,3.9,3.7
"WAUSAU, WI",1.4,3.2,1.8
"MEDFORD, OR",,,
"LEWISTON, ME",,,
"ARCATA, CA",1.2,,1.0
"JACKSON, WY",,,
"MARQUETTE, MI",0.2,3.1,0.7
"PIERRE, SD",,,
"LOMPOC, CA",0.9,2.7,1.3
"MIDDLEBURY, VT",,2.2,0.4
"FORT WAYNE, IN",,3.2,0.6
"JUNEAU, AK",,2.3,0.5
"WHEAT RIDGE, CO",,2.6,0.5
"KAILUA, HI",,2.1,0.4
"COEUR D'ALENE, ID",,2.8,0.6
"SOUTH BURLINGTON, VT",,2.2,0.4
"STILLWATER, OK",,,
"RAPID CITY, SD",,2.3,0.5
"MANHATTAN, KS",,2.3,0.5
"MONTPELIER, VT",,,
"CARPINTERIA, CA",0.0,2.6,0.5
"MISSOULA, MT",,3.7,0.7
"WAUKESHA, WI",,2.1,0.4
"BOISE, ID",,3.6,0.7
"MARSHFIELD, WI",,2.7,0.5
"ASHLAND, WI",,,
"ORONO, ME",,2.1,0.4
"TRAVERSE CITY, MI",,3.8,0.8
"BEND, OR",,3.1,0.6
"BELLINGHAM, WA",,3.3,0.7
"TUSTIN, CA",,1.8,0.4
"GOLDEN, CO",,3.1,0.6
"BROOKINGS, SD",,2.7,0.5
"FORT COLLINS, CO",2.7,4.2,3.0
"GRAND FORKS, ND",,,
"BRATTLEBORO, VT",,2.2,0.4
"WATERLOO, WI",,,
"IOWA CITY, IA",,3.2,0.6
"PALO ALTO, CA",,3.0,0.6
"BOZEMAN, MT",,2.8,0.6
"LOS ALTOS, CA",,2.4,0.5
"HILLSBORO, OR",3.2,,2.5
"HELENA, MT",,,
"BRECKENRIDGE, CO",,3.5,0.7
"KEY WEST, FL",,2.0,0.4
"SANTA CRUZ, CA",,3.5,0.7
"REXBURG, ID",,1.6,0.3
"LARAMIE, WY",,2.6,0.5
"OLYMPIA, WA",,2.5,0.5
"KEENE, NH",,2.5,0.5
"STEAMBOAT SPRINGS, CO",,3.4,0.7
"CLEMSON, SC",,1.8,0.4
"NORTHAMPTON, MA",,2.8,0.6
"ATHENS, OH",1.2,2.8,1.5
"MILL VALLEY, CA",,3.1,0.6
"MURFREESBORO, TN",,1.6,0.3
"FALMOUTH, MA",,2.6,0.5
"WINTHROP, WA",,,
"REDDING, CA",,3.1,0.6
