City,Overall Score,Ridership,Safety,Acceleration,Network,Reach
"SPRINGDALE, AR",3.0,1.3,2.2,3.0,2.2,4.0
"ENID, OK",2.4,1.0,1.6,,3.2,3.8
"DUBUQUE, IA",2.1,1.6,2.3,0.5,2.2,3.8
"SOUTH BEND, IN",2.0,1.7,1.9,0.6,2.1,3.7
"CRESTED BUTTE, CO",2.6,3.5,2.8,0.7,2.5,3.6
"KALAMAZOO, MI",1.9,1.7,1.7,0.6,2.2,3.6
"SPRINGFIELD, MO",1.9,1.8,1.3,0.5,2.2,3.5
"SAN JUAN CAPISTRANO, CA",1.9,1.5,2.2,0.3,2.1,3.4
"CHARLOTTESVILLE, VA",1.8,1.7,2.3,0.5,1.3,3.3
"BENTONVILLE, AR",3.1,1.4,2.4,3.7,2.4,3.3
"WAUSAU, WI",2.9,1.6,2.9,1.8,2.3,3.2
"MEDFORD, OR",1.9,1.1,1.8,,1.6,3.2
"LEWISTON, ME",2.0,0.9,1.6,,2.4,3.2
"ARCATA, CA",2.1,1.4,1.8,1.0,3.2,3.2
"JACKSON, WY",2.3,1.4,1.4,,3.2,3.2
"MARQUETTE, MI",2.9,1.6,2.7,0.7,4.0,3.2
"PIERRE, SD",1.9,1.1,1.8,,1.6,3.1
"LOMPOC, CA",2.9,1.3,3.3,1.3,3.0,3.1
"MIDDLEBURY, VT",2.0,1.3,2.1,0.4,2.8,3.1
"FORT WAYNE, IN",1.9,1.7,1.9,0.6,2.2,3.1
"JUNEAU, AK",2.0,2.0,2.4,0.5,2.2,3.1
"WHEAT RIDGE, CO",1.7,1.8,1.9,0.5,1.3,3.1
"KAILUA, HI",1.8,1.5,1.8,0.4,2.0,3.1
"COEUR D'ALENE, ID",1.9,1.6,2.6,0.6,1.4,3.1
"SOUTH BURLINGTON, VT",1.9,1.6,2.3,0.4,2.1,3.1
"STILLWATER, OK",1.9,1.0,1.8,,1.6,3.1
"RAPID CITY, SD",1.9,1.7,2.1,0.5,2.2,3.1
"MANHATTAN, KS",1.9,1.7,2.0,0.5,2.1,3.1
"MONTPELIER, VT",1.7,1.0,1.8,,0.8,3.1
"CARPINTERIA, CA",2.6,1.6,3.2,0.5,2.1,3.1
"MISSOULA, MT",2.2,2.4,2.4,0.7,2.3,3.1
"WAUKESHA, WI",1.9,1.7,2.3,0.4,2.1,3.1
"BOISE, ID",1.9,2.2,2.0,0.7,1.5,3.1
"MARSHFIELD, WI",2.0,1.6,2.0,0.5,2.9,3.1
"ASHLAND, WI",2.0,1.0,1.6,,2.4,3.1
"ORONO, ME",1.8,1.1,2.4,0.4,2.2,3.1
"TRAVERSE CITY, MI",2.1,1.8,2.0,0.8,3.1,3.1
"BEND, OR",2.0,2.0,2.3,0.6,2.3,3.1
"BELLINGHAM, WA",2.1,2.1,2.2,0.7,2.3,3.1
"TUSTIN, CA",1.7,1.4,2.3,0.4,1.3,3.1
"GOLDEN, CO",2.0,1.7,2.2,0.6,2.4,3.1
"BROOKINGS, SD",1.9,1.6,2.4,0.5,2.2,3.1
"FORT COLLINS, CO",3.6,2.8,3.7,3.0,3.2,3.1
"GRAND FORKS, ND",2.1,1.3,1.8,,2.4,3.0
"BRATTLEBORO, VT",1.7,1.4,1.7,0.4,2.0,3.0
"WATERLOO, WI",2.1,0.9,2.0,,2.4,3.0
"IOWA CITY, IA",2.1,2.1,2.3,0.6,2.2,3.0
"PALO ALTO, CA",2.3,2.8,2.2,0.6,3.0,3.0
"BOZEMAN, MT",2.2,2.0,2.3,0.6,3.1,3.0
"LOS ALTOS, CA",2.0,2.0,2.4,0.5,2.1,3.0
"HILLSBORO, OR",2.3,1.3,2.8,2.5,1.6,3.0
"HELENA, MT",1.9,1.2,1.6,,1.6,3.0
"BRECKENRIDGE, CO",2.1,1.9,2.5,0.7,2.4,3.0
"KEY WEST, FL",1.9,2.3,1.5,0.4,2.0,3.0
"SANTA CRUZ, CA",1.9,2.4,2.1,0.7,1.5,3.0
"REXBURG, ID",1.8,1.5,2.3,0.3,2.1,3.0
"LARAMIE, WY",2.2,2.1,2.4,0.5,3.0,3.0
"OLYMPIA, WA",2.0,1.9,2.3,0.5,2.1,3.0
"KEENE, NH",1.6,1.5,1.8,0.5,1.4,3.0
"STEAMBOAT SPRINGS, CO",1.9,2.0,2.4,0.7,1.6,3.0
"CLEMSON, SC",1.8,1.3,2.4,0.4,2.0,3.0
"NORTHAMPTON, MA",2.0,1.9,2.4,0.6,2.2,3.0
"ATHENS, OH",3.0,1.6,3.6,1.5,3.0,2.9
"MILL VALLEY, CA",2.1,2.1,2.3,0.6,2.2,2.9
"MURFREESBORO, TN",1.7,1.4,1.8,0.3,2.0,2.9
"FALMOUTH, MA",1.6,1.5,1.6,0.5,1.4,2.9
"WINTHROP, WA",1.9,0.9,2.0,,1.6,2.9
"REDDING, CA",1.6,1.6,1.5,0.6,1.4,2.9
"WICHITA, KS",1.8,1.8,1.5,0.6,2.1,2.9
"BOULDER, CO",3.7,3.2,3.0,3.0,4.1,2.9
"SANTA BARBARA, CA",3.1,2.0,2.7,3.3,2.2,2.8
"QUINCY, IL",2.0,1.6,2.1,0.4,2.8,2.8
"FORT SMITH, AR",1.7,1.3,2.0,0.4,2.1,2.8
"QUEENS, NY",3.1,1.8,2.7,2.7,2.9,2.8
"AVENTURA, FL",1.6,1.1,1.8,,0.8,2.8
"MOUNT PLEASANT, SC",1.7,1.4,2.0,0.3,1.9,2.8
"ANN ARBOR, MI",3.0,2.4,3.5,1.7,2.2,2.8
"FITCHBURG, WI",2.8,1.9,2.7,1.9,2.3,2.8
"GRAND ISLAND, NE",1.8,1.2,1.6,,1.6,2.8
"VENTURA, CA",2.9,1.6,2.5,3.1,2.1,2.8
"STANFORD, CA",2.4,3.2,2.0,,1.6,2.8
"OREM, UT",1.8,1.5,2.1,0.4,2.1,2.7
"TAMPA, FL",1.5,1.7,1.4,0.4,1.3,2.7
"RUTLAND, VT",2.0,0.9,1.8,,2.4,2.7
"INDEPENDENCE, MO",1.7,1.2,1.4,,1.6,2.7
"CARROLLTON, GA",1.3,0.7,0.6,1.8,0.8,2.7
"LANSING, MI",1.8,1.7,1.9,0.5,2.1,2.7
"AURORA, IL",2.0,1.3,1.4,,2.4,2.7
"GOOSE CREEK, SC",1.5,1.3,2.0,0.3,1.2,2.7
"CHARLESTON, WV",1.6,1.4,1.4,0.4,2.0,2.7
"TROY, OH",2.0,1.1,1.8,,2.4,2.7
"KANSAS CITY, KS",1.6,1.1,1.0,,1.6,2.7
"SANTA MARIA, CA",2.8,1.2,2.4,1.7,3.6,2.7
"SHAWNEE, KS",1.9,2.1,2.3,0.5,2.1,2.6
"SAINT PETERSBURG, FL",1.6,1.8,1.7,0.6,1.3,2.6
"PORTLAND, ME",1.7,1.2,1.8,1.4,1.6,2.6
"ATHENS, GA",2.3,1.6,1.6,1.9,1.4,2.6
"FAIRBANKS, AK",1.8,1.6,1.9,0.5,2.2,2.6
"EMMAUS, PA",2.0,1.0,1.8,,2.4,2.6
"ALEXANDRIA, VA",1.9,2.1,2.3,0.6,2.1,2.6
"LA CROSSE, WI",2.1,1.9,2.4,0.7,3.1,2.6
"TULSA, OK",1.5,1.5,1.6,0.6,1.4,2.6
"YUMA, AZ",1.5,0.8,1.0,,1.6,2.6
"RAVENNA, OH",1.4,1.0,1.4,,0.8,2.6
"PHILADELPHIA, PA",2.0,2.6,1.8,0.6,2.3,2.6
"SANTA ANA, CA",1.6,1.3,1.6,0.4,2.0,2.6
"CHICAGO, IL",2.0,2.7,1.9,0.7,2.2,2.6
"VENICE, FL",1.7,1.1,1.4,2.9,0.8,2.6
"LITTLETON, CO",2.2,1.8,2.3,0.6,1.4,2.6
"ROGERS, AR",2.3,1.4,2.4,1.2,1.5,2.6
"EVANSVILLE, IN",1.6,1.5,1.2,0.4,2.0,2.6
"SAINT PAUL, MN",2.1,2.0,2.4,0.6,3.0,2.6
"HARTFORD, CT",1.5,1.3,1.8,0.5,1.3,2.5
"SYRACUSE, NY",1.5,1.4,1.7,0.5,1.3,2.5
"BROOKLYN, NY",3.3,2.8,2.8,2.9,2.9,2.5
"TUSCALOOSA, AL",1.4,1.0,1.4,,0.8,2.5
"CHICO, CA",2.3,1.7,2.6,2.4,2.4,2.5
"GOLETA, CA",2.9,1.8,3.2,2.4,2.2,2.5
"SEMINOLE, FL",1.2,1.0,0.6,,0.8,2.5
"PITTSBURGH, PA",1.8,2.1,1.9,0.7,1.5,2.5
"POCATELLO, ID",1.5,1.2,1.6,,0.8,2.5
"PEORIA, IL",1.6,1.6,2.0,0.4,1.3,2.5
"BURLINGTON, VT",2.1,1.8,2.3,0.7,3.0,2.5
"RICHLAND, WA",1.6,1.6,2.4,0.5,1.4,2.5
"PARADISE, NV",1.8,1.3,2.0,,1.6,2.4
"ERIE, PA",1.6,1.4,1.9,0.4,2.1,2.4
"DENVER, CO",3.1,2.7,2.3,3.1,2.3,2.4
"MASSILLON, OH",1.5,1.5,2.2,0.4,1.3,2.4
"BISMARCK, ND",1.9,1.7,2.3,0.4,2.9,2.4
"GAINESVILLE, FL",2.4,2.4,2.1,1.1,1.4,2.4
"DOVER, DE",1.3,1.4,1.2,0.4,1.2,2.4
"CRANSTON, RI",1.4,0.9,0.8,,1.6,2.4
"SAINT CHARLES, MO",1.6,1.2,1.8,,0.8,2.4
"FORT LAUDERDALE, FL",2.1,1.6,1.6,1.1,1.2,2.4
"STATEN ISLAND, NY",2.6,1.7,2.2,2.0,2.0,2.4
"SAINT CLOUD, MN",1.7,1.2,1.8,,1.6,2.4
"VERO BEACH, FL",1.2,0.9,0.6,,0.8,2.4
"OLATHE, KS",1.8,1.9,2.3,0.4,2.0,2.4
"JOHNSON CITY, TN",1.6,1.3,1.9,0.5,2.1,2.4
"AVONDALE, AZ",1.5,1.3,2.1,0.3,1.2,2.4
"REDMOND, OR",1.9,0.9,1.8,,2.4,2.4
"MCDONOUGH, GA",1.2,0.9,0.6,,0.8,2.4
"BRONX, NY",2.7,1.4,2.5,2.7,2.0,2.4
"TUCSON, AZ",2.9,2.6,2.6,2.0,2.3,2.4
"MONROE, LA",1.3,0.8,0.4,,1.6,2.4
"LAS CRUCES, NM",1.5,1.7,1.7,0.5,1.3,2.4
"PROVINCETOWN, MA",3.0,2.2,2.1,1.4,4.5,2.4
"SCHERERVILLE, IN",1.7,1.2,1.8,,1.6,2.4
"SILVER SPRING, MD",1.7,1.6,2.5,0.5,1.3,2.4
"ANAHEIM, CA",1.4,1.4,1.6,0.3,1.2,2.3
"FORT WORTH, TX",1.6,1.5,1.5,0.6,2.1,2.3
"FLINT, MI",1.5,1.4,1.3,0.5,2.1,2.3
"STOCKTON, CA",1.5,1.0,1.0,,1.6,2.3
"LAWRENCE, KS",3.3,1.8,3.9,3.8,2.2,2.3
"APPLETON, WI",1.8,1.9,2.2,0.6,2.1,2.3
"RIVERSIDE, CA",1.4,1.5,1.5,0.5,1.3,2.3
"MONTGOMERY, AL",1.4,1.2,1.2,0.3,1.9,2.3
"IRVINE, CA",1.9,2.0,2.4,0.5,2.2,2.3
"NASHUA, NH",1.4,1.5,1.7,0.4,1.3,2.3
"NEWPORT, RI",1.6,1.6,2.3,0.5,1.2,2.3
"LITTLE ROCK, AR",1.7,1.4,1.9,0.6,2.2,2.3
"NEW HAVEN, CT",1.6,1.7,2.1,0.6,1.4,2.3
"VANCOUVER, WA",1.7,1.7,2.1,0.5,2.1,2.3
"BUFFALO, NY",2.5,1.8,1.9,2.8,1.3,2.3
"LEXINGTON, MA",1.5,1.1,1.8,,0.8,2.3
"AUSTIN, TX",2.9,2.2,2.5,3.7,1.5,2.3
"SEATTLE, WA",2.3,3.2,2.1,0.7,3.1,2.3
"HONOLULU, HI",1.6,2.0,1.8,0.5,1.3,2.3
"SACRAMENTO, CA",1.7,2.1,1.5,0.6,2.2,2.3
"MIAMI, FL",1.4,1.4,1.4,0.5,1.3,2.3
"DETROIT, MI",1.6,1.7,1.3,0.7,2.1,2.3
"CONWAY, AR",1.5,1.3,2.1,0.6,1.3,2.2
"ANCHORAGE, AK",1.8,2.1,1.9,0.6,2.2,2.2
"DAVIS, CA",2.4,3.0,2.5,0.7,3.8,2.2
"SAINT LOUIS, MO",1.7,1.9,1.6,0.6,2.1,2.2
"CORPUS CHRISTI, TX",1.3,1.4,1.6,0.4,1.1,2.2
"ROANOKE, VA",1.6,1.6,2.0,0.6,1.5,2.2
"ALBANY, NY",1.4,1.0,1.6,,0.8,2.2
"CAMBRIDGE, MA",2.2,3.7,2.1,0.6,2.2,2.2
"FREDERICK, MD",1.6,1.5,2.1,0.6,1.4,2.2
"GLENDALE, AZ",1.6,1.6,1.7,0.4,2.1,2.2
"MENOMONEE FALLS, WI",2.4,1.6,2.6,1.1,2.1,2.2
"ROCHESTER, MN",1.7,1.4,1.6,,1.6,2.2
"SPRINGFIELD, VA",1.8,1.4,2.6,0.5,2.1,2.2
"LAFAYETTE, LA",1.3,1.1,1.0,,0.8,2.2
"EAST HONOLULU, HI",1.4,1.1,,,0.8,2.2
"FOLSOM, CA",1.8,1.5,2.1,0.6,2.3,2.2
"HURST, TX",1.4,1.0,1.4,,0.8,2.2
"HOUSTON, TX",1.4,1.6,1.4,0.6,1.3,2.2
"CARLSBAD, CA",1.3,1.1,1.0,,0.8,2.2
"COLUMBUS, OH",1.8,2.1,1.9,0.6,2.2,2.2
"ASHEVILLE, NC",1.5,1.5,1.8,0.6,1.4,2.2
"WARREN, MI",1.5,1.6,1.7,0.3,1.9,2.2
"NEW YORK, NY",1.9,1.5,1.6,,2.4,2.2
"GREEN BAY, WI",1.8,1.8,2.3,0.6,2.1,2.2
"ARLINGTON, TX",1.3,1.4,1.4,0.3,1.2,2.2
"SPOKANE, WA",1.7,1.7,1.7,0.6,2.2,2.2
"VIRGINIA BEACH, VA",1.4,1.3,1.2,,0.8,2.2
"ALBUQUERQUE, NM",1.6,2.2,1.7,0.6,1.5,2.1
"FAYETTEVILLE, NC",1.3,1.4,1.4,0.3,1.2,2.1
"SAINT CHARLES, IL",1.9,1.3,1.8,,2.4,2.1
"ARLINGTON, VA",3.4,2.3,4.4,2.6,3.0,2.1
"OMAHA, NE",1.7,1.8,2.0,0.5,2.1,2.1
"CHAMPAIGN, IL",1.8,1.9,2.1,0.5,2.1,2.1
"MADISON, WI",3.2,2.9,3.4,2.0,3.1,2.1
"ROCHESTER, NY",2.6,1.7,1.7,3.5,1.4,2.1
"SAVANNAH, GA",1.4,1.8,1.4,0.4,1.2,2.1
"SCOTTS VALLEY, CA",1.7,1.0,2.0,,1.6,2.1
"KINGSTON, NY",1.4,1.4,1.9,0.4,1.3,2.1
"HARRISBURG, PA",1.5,1.5,1.9,0.4,1.3,2.1
"SAN FRANCISCO, CA",2.2,3.3,2.1,0.7,3.0,2.1
"CLEVELAND, OH",1.7,1.8,1.7,0.7,2.2,2.1
"BARBERTON, OH",1.5,1.1,1.8,,0.8,2.1
"LAKE CHARLES, LA",1.2,1.0,0.8,,0.8,2.1
"MOBILE, AL",1.3,1.3,0.9,0.4,1.9,2.1
"FEDERAL WAY, WA",1.9,1.0,2.4,2.4,1.6,2.1
"JACKSON, MS",1.2,1.2,1.2,0.3,1.1,2.1
"CHATTANOOGA, TN",1.6,1.5,1.5,0.6,2.2,2.1
"AURORA, CO",1.5,1.8,1.7,0.5,1.4,2.1
"NEW ORLEANS, LA",3.0,2.5,1.6,4.0,2.1,2.1
"REDWOOD CITY, CA",1.7,1.9,2.3,0.4,2.0,2.1
"LINCOLN, NE",2.7,2.0,2.2,2.4,2.2,2.1
"PROVIDENCE, RI",3.0,1.8,2.1,4.3,2.1,2.1
"PROVO, UT",1.8,1.8,2.1,0.6,2.2,2.0
"GRESHAM, OR",1.5,1.1,1.4,,1.6,2.0
"DALLAS, TX",1.4,1.5,1.6,0.5,1.3,2.0
"WASHINGTON, DC",3.1,3.5,2.9,2.4,2.2,2.0
"NEWARK, NJ",1.2,0.8,1.0,,0.8,2.0
"HUNTSVILLE, AL",2.8,1.5,1.8,4.8,1.3,2.0
"PORT CHESTER, NY",1.1,0.8,0.8,,0.8,2.0
"JACKSON, TN",1.3,0.8,1.6,,0.8,2.0
"FREMONT, CA",1.5,1.8,1.9,0.5,1.3,2.0
"SHREVEPORT, LA",1.2,1.3,1.2,0.4,1.2,2.0
"MARIETTA, GA",1.1,1.5,0.6,0.3,1.2,2.0
"CORVALLIS, OR",2.6,2.7,2.5,1.2,2.3,2.0
"SAN ANTONIO, TX",1.5,1.5,1.2,0.6,2.1,2.0
"BANGOR, ME",1.6,1.4,2.3,0.4,2.1,2.0
"DELAWARE, OH",1.6,1.2,1.6,,1.6,2.0
"LAS VEGAS, NV",1.6,1.6,1.6,0.5,2.1,2.0
"BELLA VISTA, AR",3.0,1.3,2.3,4.0,3.0,2.0
"STERLING HEIGHTS, MI",1.5,1.6,2.2,0.3,1.3,2.0
"SOUTHAVEN, MS",1.5,0.9,1.6,,1.6,2.0
"REVERE, MA",1.2,1.1,1.8,0.4,0.8,2.0
"MACON, GA",1.1,1.2,0.9,0.4,1.2,2.0
"EUGENE, OR",3.4,2.7,3.8,3.8,2.3,2.0
"TOLEDO, OH",1.4,1.6,1.4,0.5,1.3,2.0
"REDMOND, WA",1.7,1.8,2.2,0.6,2.3,2.0
"HICKORY, NC",1.1,0.8,0.8,,0.8,2.0
"HOOVER, AL",1.4,1.0,1.6,,0.8,2.0
"BILLINGS, MT",2.4,1.7,1.9,1.8,2.1,2.0
"SAN JOSE, CA",1.6,2.0,1.9,0.7,1.4,2.0
"PINE BLUFF, AR",1.2,0.8,0.4,,1.6,2.0
"LEXINGTON, KY",1.5,1.7,1.7,0.6,1.3,2.0
"SOMERVILLE, MA",1.9,3.2,2.3,0.6,1.4,2.0
"GARY, IN",1.7,1.1,1.2,,2.4,2.0
"WILMINGTON, DE",1.6,1.5,2.1,0.5,2.1,2.0
"MILWAUKEE, WI",2.8,1.9,2.5,3.0,2.2,2.0
"MOUNT VERNON, NY",1.4,1.1,1.8,,0.8,2.0
"MEMPHIS, TN",2.8,1.5,1.7,5.0,1.4,1.9
"FARGO, ND",1.9,1.9,2.1,0.6,3.0,1.9
"BIRMINGHAM, AL",1.5,1.4,1.4,0.5,2.1,1.9
"GREAT FALLS, MT",1.6,1.1,1.8,,1.6,1.9
"CAMDEN, NJ",1.5,1.3,2.1,0.4,2.0,1.9
"LENEXA, KS",2.5,1.7,2.7,1.8,2.1,1.9
"LOS ANGELES, CA",1.7,2.1,1.8,0.6,2.1,1.9
"LOUISVILLE, KY",1.4,1.6,1.5,0.6,1.4,1.9
