City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
"SPRINGDALE, AR",3.0,1.3,2.2,3.0,2.2,4.0,55,SPRINGDALE,AR
"SOUTH BEND, IN",2.0,1.7,1.9,0.6,2.1,3.7,86,SOUTH BEND,IN
"KALAMAZOO, MI",1.9,1.7,1.7,0.6,2.2,3.6,85,KALAMAZOO,MI
"SPRINGFIELD, MO",1.9,1.8,1.3,0.5,2.2,3.5,63,SPRINGFIELD,MO
"MEDFORD, OR",1.9,1.1,1.8,,1.6,3.2,39,MEDFORD,OR
"LEWISTON, ME",2.0,0.9,1.6,,2.4,3.2,54,LEWISTON,ME
"FORT WAYNE, IN",1.9,1.7,1.9,0.6,2.2,3.1,97,FORT WAYNE,IN
"JUNEAU, AK",2.0,2.0,2.4,0.5,2.2,3.1,100,JUNEAU,AK
"KAILUA, HI",1.8,1.5,1.8,0.4,2.0,3.1,76,KAILUA,HI
"RAPID CITY, SD",1.9,1.7,2.1,0.5,2.2,3.1,46,RAPID CITY,SD
"MONTPELIER, VT",1.7,1.0,1.8,,0.8,3.1,94,MONTPELIER,VT
"MISSOULA, MT",2.2,2.4,2.4,0.7,2.3,3.1,67,MISSOULA,MT
"WAUKESHA, WI",1.9,1.7,2.3,0.4,2.1,3.1,55,WAUKESHA,WI
"BOISE, ID",1.9,2.2,2.0,0.7,1.5,3.1,30,BOISE,ID
"BEND, OR",2.0,2.0,2.3,0.6,2.3,3.1,23,BEND,OR
"BELLINGHAM, WA",2.1,2.1,2.2,0.7,2.3,3.1,90,BELLINGHAM,WA
"TUSTIN, CA",1.7,1.4,2.3,0.4,1.3,3.1,24,TUSTIN,CA
"BROOKINGS, SD",1.9,1.6,2.4,0.5,2.2,3.1,48,BROOKINGS,SD
"FORT COLLINS, CO",3.6,2.8,3.7,3.0,3.2,3.1,15,FORT COLLINS,CO
"GRAND FORKS, ND",2.1,1.3,1.8,,2.4,3.0,91,GRAND FORKS,ND
"IOWA CITY, IA",2.1,2.1,2.3,0.6,2.2,3.0,60,IOWA CITY,IA
"BOZEMAN, MT",2.2,2.0,2.3,0.6,3.1,3.0,60,BOZEMAN,MT
"HILLSBORO, OR",2.3,1.3,2.8,2.5,1.6,3.0,75,HILLSBORO,OR
"LARAMIE, WY",2.2,2.1,2.4,0.5,3.0,3.0,57,LARAMIE,WY
"MURFREESBORO, TN",1.7,1.4,1.8,0.3,2.0,2.9,64,MURFREESBORO,TN
"REDDING, CA",1.6,1.6,1.5,0.6,1.4,2.9,23,REDDING,CA
"WICHITA, KS",1.8,1.8,1.5,0.6,2.1,2.9,89,WICHITA,KS
"BOULDER, CO",3.7,3.2,3.0,3.0,4.1,2.9,18,BOULDER,CO
"SANTA BARBARA, CA",3.1,2.0,2.7,3.3,2.2,2.8,25,SANTA BARBARA,CA
"FORT SMITH, AR",1.7,1.3,2.0,0.4,2.1,2.8,42,FORT SMITH,AR
"MOUNT PLEASANT, SC",1.7,1.4,2.0,0.3,1.9,2.8,29,MOUNT PLEASANT,SC
