Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
3.0,1.3,2.2,3.0,2.2,4.0,55,SPRINGDALE,AR
2.0,1.7,1.9,0.6,2.1,3.7,86,SOUTH BEND,IN
1.9,1.7,1.7,0.6,2.2,3.6,85,KALAMAZOO,MI
1.9,1.8,1.3,0.5,2.2,3.5,63,SPRINGFIELD,MO
1.9,1.1,1.8,,1.6,3.2,39,MEDFORD,OR
2.0,0.9,1.6,,2.4,3.2,54,LEWISTON,ME
1.9,1.7,1.9,0.6,2.2,3.1,97,FORT WAYNE,IN
2.0,2.0,2.4,0.5,2.2,3.1,100,JUNEAU,AK
1.8,1.5,1.8,0.4,2.0,3.1,76,KAILUA,HI
1.9,1.7,2.1,0.5,2.2,3.1,46,RAPID CITY,SD
1.7,1.0,1.8,,0.8,3.1,94,MONTPELIER,VT
2.2,2.4,2.4,0.7,2.3,3.1,67,MISSOULA,MT
1.9,1.7,2.3,0.4,2.1,3.1,55,WAUKESHA,WI
1.9,2.2,2.0,0.7,1.5,3.1,30,BOISE,ID
2.0,2.0,2.3,0.6,2.3,3.1,23,BEND,OR
2.1,2.1,2.2,0.7,2.3,3.1,90,BELLINGHAM,WA
1.7,1.4,2.3,0.4,1.3,3.1,24,TUSTIN,CA
1.9,1.6,2.4,0.5,2.2,3.1,48,BROOKINGS,SD
3.6,2.8,3.7,3.0,3.2,3.1,15,FORT COLLINS,CO
2.1,1.3,1.8,,2.4,3.0,91,GRAND FORKS,ND
2.1,2.1,2.3,0.6,2.2,3.0,60,IOWA CITY,IA
2.2,2.0,2.3,0.6,3.1,3.0,60,BOZEMAN,MT
2.3,1.3,2.8,2.5,1.6,3.0,75,HILLSBORO,OR
2.2,2.1,2.4,0.5,3.0,3.0,57,LARAMIE,WY
1.7,1.4,1.8,0.3,2.0,2.9,64,MURFREESBORO,TN
1.6,1.6,1.5,0.6,1.4,2.9,23,REDDING,CA
1.8,1.8,1.5,0.6,2.1,2.9,89,WICHITA,KS
3.7,3.2,3.0,3.0,4.1,2.9,18,BOULDER,CO
3.1,2.0,2.7,3.3,2.2,2.8,25,SANTA BARBARA,CA
1.7,1.3,2.0,0.4,2.1,2.8,42,FORT SMITH,AR
1.7,1.4,2.0,0.3,1.9,2.8,29,MOUNT PLEASANT,SC
3.0,2.4,3.5,1.7,2.2,2.8,77,ANN ARBOR,MI
1.8,1.2,1.6,,1.6,2.8,51,GRAND ISLAND,NE
2.9,1.6,2.5,3.1,2.1,2.8,22,VENTURA,CA
1.8,1.5,2.1,0.4,2.1,2.7,25,OREM,UT
1.5,1.7,1.4,0.4,1.3,2.7,17,TAMPA,FL
2.0,0.9,1.8,,2.4,2.7,72,RUTLAND,VT
1.7,1.2,1.4,,1.6,2.7,39,INDEPENDENCE,MO
1.8,1.7,1.9,0.5,2.1,2.7,97,LANSING,MI
2.0,1.3,1.4,,2.4,2.7,71,AURORA,IL
1.6,1.4,1.4,0.4,2.0,2.7,81,CHARLESTON,WV
1.6,1.1,1.0,,1.6,2.7,44,KANSAS CITY,KS
2.8,1.2,2.4,1.7,3.6,2.7,44,SANTA MARIA,CA
1.6,1.8,1.7,0.6,1.3,2.6,40,SAINT PETERSBURG,FL
1.7,1.2,1.8,1.4,1.6,2.6,87,PORTLAND,ME
1.8,1.6,1.9,0.5,2.2,2.6,82,FAIRBANKS,AK
1.9,2.1,2.3,0.6,2.1,2.6,93,ALEXANDRIA,VA
1.5,1.5,1.6,0.6,1.4,2.6,33,TULSA,OK
1.5,0.8,1.0,,1.6,2.6,11,YUMA,AZ
2.0,2.6,1.8,0.6,2.3,2.6,62,PHILADELPHIA,PA
1.6,1.3,1.6,0.4,2.0,2.6,23,SANTA ANA,CA
2.0,2.7,1.9,0.7,2.2,2.6,92,CHICAGO,IL
1.6,1.5,1.2,0.4,2.0,2.6,57,EVANSVILLE,IN
2.1,2.0,2.4,0.6,3.0,2.6,80,SAINT PAUL,MN
1.5,1.3,1.8,0.5,1.3,2.5,66,HARTFORD,CT
1.5,1.4,1.7,0.5,1.3,2.5,100,SYRACUSE,NY
1.4,1.0,1.4,,0.8,2.5,43,TUSCALOOSA,AL
2.3,1.7,2.6,2.4,2.4,2.5,25,CHICO,CA
1.8,2.1,1.9,0.7,1.5,2.5,87,PITTSBURGH,PA
1.5,1.2,1.6,,0.8,2.5,52,POCATELLO,ID
1.6,1.6,2.0,0.4,1.3,2.5,60,PEORIA,IL
2.1,1.8,2.3,0.7,3.0,2.5,95,BURLINGTON,VT
1.8,1.3,2.0,,1.6,2.4,25,PARADISE,NV
1.6,1.4,1.9,0.4,2.1,2.4,91,ERIE,PA
3.1,2.7,2.3,3.1,2.3,2.4,74,DENVER,CO
1.9,1.7,2.3,0.4,2.9,2.4,60,BISMARCK,ND
2.4,2.4,2.1,1.1,1.4,2.4,38,GAINESVILLE,FL
1.3,1.4,1.2,0.4,1.2,2.4,89,DOVER,DE
1.4,0.9,0.8,,1.6,2.4,99,CRANSTON,RI
1.6,1.2,1.8,,0.8,2.4,49,SAINT CHARLES,MO
2.1,1.6,1.6,1.1,1.2,2.4,72,FORT LAUDERDALE,FL
1.7,1.2,1.8,,1.6,2.4,79,SAINT CLOUD,MN
1.8,1.9,2.3,0.4,2.0,2.4,54,OLATHE,KS
1.5,1.3,2.1,0.3,1.2,2.4,19,AVONDALE,AZ
2.9,2.6,2.6,2.0,2.3,2.4,18,TUCSON,AZ
1.5,1.7,1.7,0.5,1.3,2.4,4,LAS CRUCES,NM
1.7,1.6,2.5,0.5,1.3,2.4,27,SILVER SPRING,MD
1.4,1.4,1.6,0.3,1.2,2.3,4,ANAHEIM,CA
1.6,1.5,1.5,0.6,2.1,2.3,34,FORT WORTH,TX
1.5,1.4,1.3,0.5,2.1,2.3,89,FLINT,MI
1.5,1.0,1.0,,1.6,2.3,11,STOCKTON,CA
3.3,1.8,3.9,3.8,2.2,2.3,48,LAWRENCE,KS
1.8,1.9,2.2,0.6,2.1,2.3,80,APPLETON,WI
1.4,1.5,1.5,0.5,1.3,2.3,2,RIVERSIDE,CA
1.4,1.2,1.2,0.3,1.9,2.3,64,MONTGOMERY,AL
1.9,2.0,2.4,0.5,2.2,2.3,23,IRVINE,CA
1.4,1.5,1.7,0.4,1.3,2.3,62,NASHUA,NH
1.7,1.4,1.9,0.6,2.2,2.3,88,LITTLE ROCK,AR
1.6,1.7,2.1,0.6,1.4,2.3,70,NEW HAVEN,CT
1.7,1.7,2.1,0.5,2.1,2.3,66,VANCOUVER,WA
2.5,1.8,1.9,2.8,1.3,2.3,99,BUFFALO,NY
2.9,2.2,2.5,3.7,1.5,2.3,86,AUSTIN,TX
2.3,3.2,2.1,0.7,3.1,2.3,80,SEATTLE,WA
1.6,2.0,1.8,0.5,1.3,2.3,45,HONOLULU,HI
1.7,2.1,1.5,0.6,2.2,2.3,11,SACRAMENTO,CA
1.4,1.4,1.4,0.5,1.3,2.3,79,MIAMI,FL
1.6,1.7,1.3,0.7,2.1,2.3,69,DETROIT,MI
1.8,2.1,1.9,0.6,2.2,2.2,86,ANCHORAGE,AK
2.4,3.0,2.5,0.7,3.8,2.2,1,DAVIS,CA
1.7,1.9,1.6,0.6,2.1,2.2,93,SAINT LOUIS,MO
