City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Good Weather Percentile
"SPRINGDALE, AR",3,1.3,2.2,3,2.2,4,55
"SOUTH BEND, IN",2,1.7,1.9,0.6,2.1,3.7,86
"KALAMAZOO, MI",1.9,1.7,1.7,0.6,2.2,3.6,85
"SPRINGFIELD, MO",1.9,1.8,1.3,0.5,2.2,3.5,63
"MEDFORD, OR",1.9,1.1,1.8,,1.6,3.2,39
"LEWISTON, ME",2,0.9,1.6,,2.4,3.2,54
"FORT WAYNE, IN",1.9,1.7,1.9,0.6,2.2,3.1,97
"JUNEAU, AK",2,2,2.4,0.5,2.2,3.1,100
"KAILUA, HI",1.8,1.5,1.8,0.4,2,3.1,76
"RAPID CITY, SD",1.9,1.7,2.1,0.5,2.2,3.1,46
"MONTPELIER, VT",1.7,1,1.8,,0.8,3.1,94
"MISSOULA, MT",2.2,2.4,2.4,0.7,2.3,3.1,67
"WAUKESHA, WI",1.9,1.7,2.3,0.4,2.1,3.1,55
"BOISE, ID",1.9,2.2,2,0.7,1.5,3.1,30
"BEND, OR",2,2,2.3,0.6,2.3,3.1,23
"BELLINGHAM, WA",2.1,2.1,2.2,0.7,2.3,3.1,90
"TUSTIN, CA",1.7,1.4,2.3,0.4,1.3,3.1,24
"BROOKINGS, SD",1.9,1.6,2.4,0.5,2.2,3.1,48
"FORT COLLINS, CO",3.6,2.8,3.7,3,3.2,3.1,15
"GRAND FORKS, ND",2.1,1.3,1.8,,2.4,3,91
"IOWA CITY, IA",2.1,2.1,2.3,0.6,2.2,3,60
"BOZEMAN, MT",2.2,2,2.3,0.6,3.1,3,60
"HILLSBORO, OR",2.3,1.3,2.8,2.5,1.6,3,75
"LARAMIE, WY",2.2,2.1,2.4,0.5,3,3,57
"MURFREESBORO, TN",1.7,1.4,1.8,0.3,2,2.9,64
"REDDING, CA",1.6,1.6,1.5,0.6,1.4,2.9,23
"WICHITA, KS",1.8,1.8,1.5,0.6,2.1,2.9,89
"BOULDER, CO",3.7,3.2,3,3,4.1,2.9,18
"SANTA BARBARA, CA",3.1,2,2.7,3.3,2.2,2.8,25
"FORT SMITH, AR",1.7,1.3,2,0.4,2.1,2.8,42
"MOUNT PLEASANT, SC",1.7,1.4,2,0.3,1.9,2.8,29
"ANN ARBOR, MI",3,2.4,3.5,1.7,2.2,2.8,77
"GRAND ISLAND, NE",1.8,1.2,1.6,,1.6,2.8,51
"VENTURA, CA",2.9,1.6,2.5,3.1,2.1,2.8,22
"OREM, UT",1.8,1.5,2.1,0.4,2.1,2.7,25
"TAMPA, FL",1.5,1.7,1.4,0.4,1.3,2.7,17
"RUTLAND, VT",2,0.9,1.8,,2.4,2.7,72
"INDEPENDENCE, MO",1.7,1.2,1.4,,1.6,2.7,39
"LANSING, MI",1.8,1.7,1.9,0.5,2.1,2.7,97
"AURORA, IL",2,1.3,1.4,,2.4,2.7,71
"CHARLESTON, WV",1.6,1.4,1.4,0.4,2,2.7,81
"KANSAS CITY, KS",1.6,1.1,1,,1.6,2.7,44
"SANTA MARIA, CA",2.8,1.2,2.4,1.7,3.6,2.7,44
"SAINT PETERSBURG, FL",1.6,1.8,1.7,0.6,1.3,2.6,40
"PORTLAND, ME",1.7,1.2,1.8,1.4,1.6,2.6,87
"FAIRBANKS, AK",1.8,1.6,1.9,0.5,2.2,2.6,82
"ALEXANDRIA, VA",1.9,2.1,2.3,0.6,2.1,2.6,93
"TULSA, OK",1.5,1.5,1.6,0.6,1.4,2.6,33
"YUMA, AZ",1.5,0.8,1,,1.6,2.6,11
"PHILADELPHIA, PA",2,2.6,1.8,0.6,2.3,2.6,62
"SANTA ANA, CA",1.6,1.3,1.6,0.4,2,2.6,23
"CHICAGO, IL",2,2.7,1.9,0.7,2.2,2.6,92
"EVANSVILLE, IN",1.6,1.5,1.2,0.4,2,2.6,57
"SAINT PAUL, MN",2.1,2,2.4,0.6,3,2.6,80
"HARTFORD, CT",1.5,1.3,1.8,0.5,1.3,2.5,66
"SYRACUSE, NY",1.5,1.4,1.7,0.5,1.3,2.5,100
"TUSCALOOSA, AL",1.4,1,1.4,,0.8,2.5,43
"CHICO, CA",2.3,1.7,2.6,2.4,2.4,2.5,25
"PITTSBURGH, PA",1.8,2.1,1.9,0.7,1.5,2.5,87
"POCATELLO, ID",1.5,1.2,1.6,,0.8,2.5,52
"PEORIA, IL",1.6,1.6,2,0.4,1.3,2.5,60
"BURLINGTON, VT",2.1,1.8,2.3,0.7,3,2.5,95
"PARADISE, NV",1.8,1.3,2,,1.6,2.4,25
"ERIE, PA",1.6,1.4,1.9,0.4,2.1,2.4,91
"DENVER, CO",3.1,2.7,2.3,3.1,2.3,2.4,74
"BISMARCK, ND",1.9,1.7,2.3,0.4,2.9,2.4,60
"GAINESVILLE, FL",2.4,2.4,2.1,1.1,1.4,2.4,38
"DOVER, DE",1.3,1.4,1.2,0.4,1.2,2.4,89
"CRANSTON, RI",1.4,0.9,0.8,,1.6,2.4,99
"SAINT CHARLES, MO",1.6,1.2,1.8,,0.8,2.4,49
"FORT LAUDERDALE, FL",2.1,1.6,1.6,1.1,1.2,2.4,72
"SAINT CLOUD, MN",1.7,1.2,1.8,,1.6,2.4,79
"OLATHE, KS",1.8,1.9,2.3,0.4,2,2.4,54
"AVONDALE, AZ",1.5,1.3,2.1,0.3,1.2,2.4,19
"TUCSON, AZ",2.9,2.6,2.6,2,2.3,2.4,18
"LAS CRUCES, NM",1.5,1.7,1.7,0.5,1.3,2.4,4
"SILVER SPRING, MD",1.7,1.6,2.5,0.5,1.3,2.4,27
"ANAHEIM, CA",1.4,1.4,1.6,0.3,1.2,2.3,4
"FORT WORTH, TX",1.6,1.5,1.5,0.6,2.1,2.3,34
"FLINT, MI",1.5,1.4,1.3,0.5,2.1,2.3,89
"STOCKTON, CA",1.5,1,1,,1.6,2.3,11
"LAWRENCE, KS",3.3,1.8,3.9,3.8,2.2,2.3,48
"APPLETON, WI",1.8,1.9,2.2,0.6,2.1,2.3,80
"RIVERSIDE, CA",1.4,1.5,1.5,0.5,1.3,2.3,2
"MONTGOMERY, AL",1.4,1.2,1.2,0.3,1.9,2.3,64
"IRVINE, CA",1.9,2,2.4,0.5,2.2,2.3,23
"NASHUA, NH",1.4,1.5,1.7,0.4,1.3,2.3,62
"LITTLE ROCK, AR",1.7,1.4,1.9,0.6,2.2,2.3,88
"NEW HAVEN, CT",1.6,1.7,2.1,0.6,1.4,2.3,70
"VANCOUVER, WA",1.7,1.7,2.1,0.5,2.1,2.3,66
"BUFFALO, NY",2.5,1.8,1.9,2.8,1.3,2.3,99
"AUSTIN, TX",2.9,2.2,2.5,3.7,1.5,2.3,86
"SEATTLE, WA",2.3,3.2,2.1,0.7,3.1,2.3,80
"HONOLULU, HI",1.6,2,1.8,0.5,1.3,2.3,45
"SACRAMENTO, CA",1.7,2.1,1.5,0.6,2.2,2.3,11
"MIAMI, FL",1.4,1.4,1.4,0.5,1.3,2.3,79
