City,BNA,BNA Points,Community Survey Network Score,Total Nework Points
"SPRINGDALE, AR",23.2,2,3.2,2.2
"ENID, OK",61.4,4,,3.2
"DUBUQUE, IA",21.0,2,2.8,2.2
"SOUTH BEND, IN",38.1,2,2.5,2.1
"CRESTED BUTTE, CO",28.8,2,4.4,2.5
"KALAMAZOO, MI",34.9,2,2.9,2.2
"SPRINGFIELD, MO",30.0,2,2.9,2.2
"SAN JUAN CAPISTRANO, CA",20.8,2,2.7,2.1
"CHARLOTTESVILLE, VA",16.0,1,2.6,1.3
"BENTONVILLE, AR",32.3,2,3.8,2.4
"WAUSAU, WI",37.1,2,3.3,2.3
"MEDFORD, OR",28.3,2,,1.6
"LEWISTON, ME",44.3,3,,2.4
"ARCATA, CA",62.9,4,,3.2
"JACKSON, WY",66.3,4,,3.2
"MARQUETTE, MI",67.2,4,3.8,4.0
"PIERRE, SD",36.4,2,,1.6
"LOMPOC, CA",59.5,3,2.8,3.0
"MIDDLEBURY, VT",41.7,3,2.2,2.8
"FORT WAYNE, IN",28.9,2,2.9,2.2
"JUNEAU, AK",36.3,2,2.8,2.2
"WHEAT RIDGE, CO",13.1,1,2.7,1.3
"KAILUA, HI",28.3,2,2.0,2.0
"COEUR D'ALENE, ID",6.7,1,3.0,1.4
"SOUTH BURLINGTON, VT",24.6,2,2.6,2.1
"STILLWATER, OK",32.9,2,,1.6
"RAPID CITY, SD",31.8,2,3.0,2.2
"MANHATTAN, KS",38.6,2,2.7,2.1
"MONTPELIER, VT",18.8,1,,0.8
"CARPINTERIA, CA",31.3,2,2.7,2.1
"MISSOULA, MT",25.5,2,3.6,2.3
"WAUKESHA, WI",39.7,2,2.4,2.1
"BOISE, ID",9.7,1,3.7,1.5
"MARSHFIELD, WI",53.2,3,2.3,2.9
"ASHLAND, WI",42.5,3,,2.4
"ORONO, ME",31.8,2,2.8,2.2
"TRAVERSE CITY, MI",56.8,3,3.6,3.1
"BEND, OR",20.8,2,3.4,2.3
"BELLINGHAM, WA",35.0,2,3.6,2.3
"TUSTIN, CA",13.8,1,2.3,1.3
"GOLDEN, CO",20.5,2,3.8,2.4
"BROOKINGS, SD",24.1,2,2.9,2.2
"FORT COLLINS, CO",55.7,3,4.0,3.2
"GRAND FORKS, ND",59.2,3,,2.4
"BRATTLEBORO, VT",34.5,2,2.2,2.0
"WATERLOO, WI",41.1,3,,2.4
"IOWA CITY, IA",37.2,2,3.0,2.2
"PALO ALTO, CA",40.5,3,3.0,3.0
"BOZEMAN, MT",48.4,3,3.5,3.1
"LOS ALTOS, CA",25.5,2,2.6,2.1
"HILLSBORO, OR",28.8,2,,1.6
"HELENA, MT",37.4,2,,1.6
"BRECKENRIDGE, CO",22.2,2,4.1,2.4
"KEY WEST, FL",28.5,2,2.2,2.0
"SANTA CRUZ, CA",14.3,1,3.4,1.5
"REXBURG, ID",21.5,2,2.3,2.1
"LARAMIE, WY",49.1,3,3.0,3.0
"OLYMPIA, WA",26.9,2,2.7,2.1
"KEENE, NH",9.3,1,2.8,1.4
"STEAMBOAT SPRINGS, CO",9.9,1,4.2,1.6
"CLEMSON, SC",23.3,2,2.2,2.0
"NORTHAMPTON, MA",27.0,2,3.0,2.2
"ATHENS, OH",44.9,3,3.1,3.0
"MILL VALLEY, CA",34.9,2,3.1,2.2
"MURFREESBORO, TN",24.4,2,1.8,2.0
"FALMOUTH, MA",19.5,1,2.8,1.4
"WINTHROP, WA",20.7,2,,1.6
"REDDING, CA",17.1,1,3.2,1.4
"WICHITA, KS",27.5,2,2.6,2.1
"BOULDER, CO",61.6,4,4.3,4.1
"SANTA BARBARA, CA",23.6,2,3.0,2.2
"QUINCY, IL",55.0,3,1.9,2.8
"FORT SMITH, AR",27.7,2,2.3,2.1
"QUEENS, NY",46.1,3,2.3,2.9
"AVENTURA, FL",10.0,1,,0.8
"MOUNT PLEASANT, SC",20.8,2,1.6,1.9
"ANN ARBOR, MI",35.0,2,3.1,2.2
"FITCHBURG, WI",37.1,2,3.3,2.3
"GRAND ISLAND, NE",20.4,2,,1.6
"VENTURA, CA",29.4,2,2.7,2.1
"STANFORD, CA",38.2,2,,1.6
"OREM, UT",32.0,2,2.7,2.1
"TAMPA, FL",13.1,1,2.4,1.3
"RUTLAND, VT",40.8,3,,2.4
"INDEPENDENCE, MO",26.1,2,,1.6
"CARROLLTON, GA",18.1,1,,0.8
"LANSING, MI",26.0,2,2.7,2.1
"AURORA, IL",49.3,3,,2.4
"GOOSE CREEK, SC",19.0,1,1.9,1.2
"CHARLESTON, WV",21.4,2,2.0,2.0
"TROY, OH",43.8,3,,2.4
"KANSAS CITY, KS",32.4,2,,1.6
"SANTA MARIA, CA",70.2,4,2.1,3.6
"SHAWNEE, KS",30.1,2,2.4,2.1
"SAINT PETERSBURG, FL",9.8,1,2.4,1.3
"PORTLAND, ME",21.5,2,,1.6
"ATHENS, GA",11.3,1,2.8,1.4
"FAIRBANKS, AK",22.2,2,2.9,2.2
"EMMAUS, PA",44.8,3,,2.4
"ALEXANDRIA, VA",37.2,2,2.7,2.1
"LA CROSSE, WI",54.2,3,3.6,3.1
"TULSA, OK",16.6,1,2.8,1.4
"YUMA, AZ",22.3,2,,1.6
"RAVENNA, OH",18.7,1,,0.8
"PHILADELPHIA, PA",39.8,2,3.3,2.3
"SANTA ANA, CA",23.3,2,2.2,2.0
"CHICAGO, IL",35.0,2,3.2,2.2
"VENICE, FL",8.8,1,,0.8
"LITTLETON, CO",10.8,1,3.2,1.4
"ROGERS, AR",12.4,1,3.6,1.5
"EVANSVILLE, IN",23.1,2,2.0,2.0
"SAINT PAUL, MN",46.8,3,3.1,3.0
"HARTFORD, CT",16.5,1,2.4,1.3
"SYRACUSE, NY",7.3,1,2.5,1.3
"BROOKLYN, NY",57.7,3,2.5,2.9
"TUSCALOOSA, AL",17.9,1,,0.8
"CHICO, CA",43.9,3,,2.4
"GOLETA, CA",29.3,2,3.0,2.2
"SEMINOLE, FL",7.9,1,,0.8
"PITTSBURGH, PA",19.9,1,3.5,1.5
"POCATELLO, ID",6.6,1,,0.8
"PEORIA, IL",14.7,1,2.6,1.3
"BURLINGTON, VT",48.5,3,3.2,3.0
"RICHLAND, WA",15.2,1,2.8,1.4
"PARADISE, NV",27.2,2,,1.6
"ERIE, PA",25.2,2,2.4,2.1
"DENVER, CO",35.7,2,3.4,2.3
"MASSILLON, OH",16.8,1,2.4,1.3
"BISMARCK, ND",50.3,3,2.5,2.9
"GAINESVILLE, FL",16.3,1,3.0,1.4
"DOVER, DE",12.7,1,1.8,1.2
"CRANSTON, RI",26.1,2,,1.6
"SAINT CHARLES, MO",16.5,1,,0.8
"FORT LAUDERDALE, FL",4.0,1,2.0,1.2
"STATEN ISLAND, NY",30.0,2,2.0,2.0
"SAINT CLOUD, MN",20.8,2,,1.6
"VERO BEACH, FL",6.4,1,,0.8
"OLATHE, KS",34.3,2,2.1,2.0
"JOHNSON CITY, TN",27.0,2,2.5,2.1
"AVONDALE, AZ",16.4,1,2.0,1.2
"REDMOND, OR",54.8,3,,2.4
"MCDONOUGH, GA",18.0,1,,0.8
"BRONX, NY",29.4,2,2.2,2.0
"TUCSON, AZ",36.3,2,3.5,2.3
"MONROE, LA",25.2,2,,1.6
"LAS CRUCES, NM",7.9,1,2.6,1.3
"PROVINCETOWN, MA",86.8,5,2.6,4.5
"SCHERERVILLE, IN",28.9,2,,1.6
"SILVER SPRING, MD",9.2,1,2.6,1.3
"ANAHEIM, CA",16.7,1,2.1,1.2
"FORT WORTH, TX",20.9,2,2.6,2.1
"FLINT, MI",25.5,2,2.4,2.1
"STOCKTON, CA",34.0,2,,1.6
"LAWRENCE, KS",31.6,2,3.1,2.2
"APPLETON, WI",21.4,2,2.7,2.1
"RIVERSIDE, CA",19.3,1,2.6,1.3
"MONTGOMERY, AL",28.0,2,1.4,1.9
"IRVINE, CA",20.7,2,2.9,2.2
"NASHUA, NH",15.0,1,2.7,1.3
"NEWPORT, RI",17.7,1,1.9,1.2
"LITTLE ROCK, AR",21.8,2,2.9,2.2
"NEW HAVEN, CT",15.5,1,2.8,1.4
"VANCOUVER, WA",36.0,2,2.7,2.1
"BUFFALO, NY",5.6,1,2.6,1.3
"LEXINGTON, MA",16.7,1,,0.8
"AUSTIN, TX",12.4,1,3.4,1.5
"SEATTLE, WA",41.6,3,3.3,3.1
"HONOLULU, HI",19.2,1,2.3,1.3
"SACRAMENTO, CA",27.0,2,3.0,2.2
"MIAMI, FL",3.5,1,2.4,1.3
"DETROIT, MI",39.1,2,2.5,2.1
"CONWAY, AR",19.5,1,2.7,1.3
"ANCHORAGE, AK",29.1,2,3.0,2.2
"DAVIS, CA",70.8,4,3.0,3.8
"SAINT LOUIS, MO",31.2,2,2.7,2.1
"CORPUS CHRISTI, TX",17.1,1,1.7,1.1
"ROANOKE, VA",18.6,1,3.4,1.5
"ALBANY, NY",9.1,1,,0.8
"CAMBRIDGE, MA",23.4,2,2.8,2.2
"FREDERICK, MD",12.4,1,2.8,1.4
"GLENDALE, AZ",25.2,2,2.5,2.1
"MENOMONEE FALLS, WI",35.7,2,2.3,2.1
"ROCHESTER, MN",35.3,2,,1.6
"SPRINGFIELD, VA",26.6,2,2.7,2.1
"LAFAYETTE, LA",14.2,1,,0.8
"EAST HONOLULU, HI",17.2,1,,0.8
"FOLSOM, CA",34.2,2,3.6,2.3
"HURST, TX",10.5,1,,0.8
"HOUSTON, TX",15.7,1,2.7,1.3
"CARLSBAD, CA",16.4,1,,0.8
"COLUMBUS, OH",30.3,2,3.0,2.2
"ASHEVILLE, NC",7.7,1,3.0,1.4
"WARREN, MI",25.4,2,1.7,1.9
"NEW YORK, NY",46.6,3,,2.4
"GREEN BAY, WI",32.7,2,2.7,2.1
"ARLINGTON, TX",11.2,1,2.0,1.2
"SPOKANE, WA",22.3,2,3.0,2.2
"VIRGINIA BEACH, VA",17.3,1,,0.8
"ALBUQUERQUE, NM",13.6,1,3.4,1.5
"FAYETTEVILLE, NC",8.2,1,1.8,1.2
"SAINT CHARLES, IL",49.5,3,,2.4
"ARLINGTON, VA",48.9,3,2.9,3.0
"OMAHA, NE",29.4,2,2.6,2.1
"CHAMPAIGN, IL",27.7,2,2.5,2.1
"MADISON, WI",52.6,3,3.5,3.1
"ROCHESTER, NY",4.3,1,2.9,1.4
"SAVANNAH, GA",6.5,1,2.0,1.2
"SCOTTS VALLEY, CA",27.0,2,,1.6
"KINGSTON, NY",10.3,1,2.3,1.3
"HARRISBURG, PA",15.3,1,2.5,1.3
"SAN FRANCISCO, CA",57.9,3,2.9,3.0
"CLEVELAND, OH",24.7,2,3.0,2.2
"BARBERTON, OH",16.4,1,,0.8
"LAKE CHARLES, LA",18.6,1,,0.8
"MOBILE, AL",21.8,2,1.7,1.9
"FEDERAL WAY, WA",21.1,2,,1.6
"JACKSON, MS",19.1,1,1.5,1.1
"CHATTANOOGA, TN",20.7,2,3.2,2.2
"AURORA, CO",13.3,1,2.8,1.4
"NEW ORLEANS, LA",34.8,2,2.3,2.1
"REDWOOD CITY, CA",32.6,2,2.2,2.0
"LINCOLN, NE",28.9,2,3.2,2.2
"PROVIDENCE, RI",24.8,2,2.5,2.1
"PROVO, UT",32.4,2,3.2,2.2
"GRESHAM, OR",20.9,2,,1.6
"DALLAS, TX",16.9,1,2.5,1.3
"WASHINGTON, DC",37.5,2,3.0,2.2
"NEWARK, NJ",19.3,1,,0.8
"HUNTSVILLE, AL",19.8,1,2.5,1.3
"PORT CHESTER, NY",6.4,1,,0.8
"JACKSON, TN",15.8,1,,0.8
"FREMONT, CA",18.3,1,2.4,1.3
"SHREVEPORT, LA",19.7,1,1.9,1.2
"MARIETTA, GA",8.0,1,2.0,1.2
"CORVALLIS, OR",38.1,2,3.7,2.3
"SAN ANTONIO, TX",25.1,2,2.7,2.1
"BANGOR, ME",31.8,2,2.3,2.1
"DELAWARE, OH",22.8,2,,1.6
"LAS VEGAS, NV",20.2,2,2.6,2.1
"BELLA VISTA, AR",40.8,3,3.1,3.0
"STERLING HEIGHTS, MI",13.6,1,2.5,1.3
"SOUTHAVEN, MS",26.8,2,,1.6
"REVERE, MA",5.9,1,,0.8
"MACON, GA",8.8,1,1.9,1.2
"EUGENE, OR",25.9,2,3.4,2.3
"TOLEDO, OH",15.5,1,2.5,1.3
"REDMOND, WA",27.7,2,3.3,2.3
"HICKORY, NC",6.6,1,,0.8
"HOOVER, AL",18.3,1,,0.8
"BILLINGS, MT",27.9,2,2.7,2.1
"SAN JOSE, CA",18.2,1,3.2,1.4
"PINE BLUFF, AR",34.4,2,,1.6
"LEXINGTON, KY",9.9,1,2.7,1.3
"SOMERVILLE, MA",10.9,1,2.8,1.4
"GARY, IN",41.2,3,,2.4
"WILMINGTON, DE",33.9,2,2.5,2.1
"MILWAUKEE, WI",28.3,2,3.0,2.2
"MOUNT VERNON, NY",2.6,1,,0.8
"MEMPHIS, TN",5.2,1,2.9,1.4
"FARGO, ND",45.7,3,2.9,3.0
"BIRMINGHAM, AL",22.0,2,2.4,2.1
"GREAT FALLS, MT",35.3,2,,1.6
"CAMDEN, NJ",30.2,2,2.0,2.0
"LENEXA, KS",27.6,2,2.3,2.1
"LOS ANGELES, CA",23.1,2,2.5,2.1
"LOUISVILLE, KY",8.1,1,3.1,1.4
"WATERBURY, CT",11.9,1,,0.8
"RALEIGH, NC",13.0,1,3.0,1.4
"SAN BERNARDINO, CA",14.2,1,,0.8
"BATON ROUGE, LA",20.1,2,2.0,2.0
"JOLIET, IL",28.5,2,,1.6
"REDLANDS, CA",22.5,2,2.8,2.2
"NAPA, CA",29.9,2,,1.6
"ROSWELL, NM",5.5,1,,0.8
"GRAND RAPIDS, MI",19.7,1,3.1,1.4
"PATERSON, NJ",12.3,1,,0.8
"STAMFORD, CT",11.6,1,1.8,1.2
"WORCESTER, MA",13.2,1,2.0,1.2
"DAYTON, OH",18.4,1,3.3,1.5
"INDIANAPOLIS, IN",6.9,1,3.1,1.4
"GREENVILLE, SC",43.3,3,3.1,3.0
"JERSEY CITY, NJ",19.3,1,1.9,1.2
"CHARLOTTE, NC",11.8,1,2.9,1.4
"ORLANDO, FL",11.4,1,2.5,1.3
"COLUMBIA, MD",15.9,1,2.6,1.3
"IDAHO FALLS, ID",5.7,1,,0.8
"WINSTON-SALEM, NC",7.1,1,2.6,1.3
"OKLAHOMA CITY, OK",19.6,1,2.8,1.4
"CARMEL, IN",49.2,3,2.7,2.9
"FAYETTEVILLE, AR",36.4,2,3.7,2.3
"RACINE, WI",35.0,2,2.4,2.1
"OVERLAND PARK, KS",30.8,2,2.3,2.1
"MANCHESTER, NH",4.9,1,2.5,1.3
"BOSTON, MA",14.1,1,2.6,1.3
"BETHEL, CT",14.1,1,1.8,1.2
"FISHERS, IN",37.3,2,,1.6
"SPRINGFIELD, MA",9.8,1,,0.8
"MINNEAPOLIS, MN",26.4,2,3.6,2.3
"SAN JUAN, PR",34.9,2,,1.6
"ATLANTA, GA",9.0,1,2.7,1.3
"LOWELL, MA",9.8,1,2.2,1.2
"KEARNEY, NE",22.3,2,2.5,2.1
"BLOOMINGTON, MN",29.9,2,2.7,2.1
"CHANDLER, AZ",22.7,2,2.6,2.1
"RICHARDSON, TX",16.0,1,2.4,1.3
"KANSAS CITY, MO",25.6,2,2.7,2.1
"KENT, WA",19.4,1,,0.8
"DES MOINES, IA",34.3,2,3.3,2.3
"NORWALK, CT",6.0,1,,0.8
"URBANA, IL",33.1,2,2.8,2.2
"ALMA, MI",78.7,4,,3.2
"SALEM, OR",17.3,1,2.7,1.3
"DUBLIN, OH",46.1,3,2.5,2.9
"MELBOURNE, FL",11.2,1,1.9,1.2
"LONG BEACH, CA",25.5,2,2.5,2.1
