City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"SPRINGDALE, AR",13.4,9,19.2,33.9,-14.7,3.0,-15.0,0.3,4.9,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,4.0
"ENID, OK",14.6,6,54.7,77.0,-22.4,1.0,-25.0,2.6,4.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,3.8
"DUBUQUE, IA",7.6,5,22.2,38.8,-16.6,2.0,-20.0,3.4,4.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,3.8
"SOUTH BEND, IN",17.8,24,36.0,51.0,-15.0,1.0,-25.0,10.0,4.0,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,3.7
"CRESTED BUTTE, CO",0.0,0,27.4,,,,,,,0.36,0.52,-0.16,3.0,-0.6,0.44,3.6,3.6
"KALAMAZOO, MI",21.2,21,37.3,49.9,-12.6,1.0,-25.0,12.4,3.7,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,3.6
"SPRINGFIELD, MO",8.6,12,25.0,40.2,-15.2,2.0,-20.0,4.8,4.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,3.5
"SAN JUAN CAPISTRANO, CA",8.9,4,11.7,22.6,-11.0,3.0,-15.0,4.0,4.3,0.02,0.0,0.02,2.0,-0.05,0.07,0.8,3.4
"CHARLOTTESVILLE, VA",11.9,5,15.3,21.7,-6.4,3.0,-15.0,8.6,3.4,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.3
"BENTONVILLE, AR",6.6,4,21.9,35.8,-13.9,2.0,-20.0,6.1,4.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.2,3.3
"WAUSAU, WI",13.0,6,35.7,49.3,-13.6,1.0,-25.0,11.4,3.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,3.2
"MEDFORD, OR",5.8,3,26.0,35.2,-9.2,2.0,-20.0,10.8,3.3,0.03,0.01,0.03,3.0,-0.6,0.63,3.0,3.2
"LEWISTON, ME",12.0,3,35.9,50.2,-14.3,1.0,-25.0,10.7,3.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,3.2
"ARCATA, CA",0.0,0,45.4,,,,,,,0.06,0.07,-0.01,3.0,-0.6,0.59,3.2,3.2
"JACKSON, WY",10.0,1,67.2,64.8,2.4,,,,,0.04,0.05,-0.01,3.0,-0.6,0.59,3.2,3.2
"MARQUETTE, MI",7.1,2,56.2,25.9,30.3,,,,,0.02,0.03,-0.01,3.0,-0.6,0.59,3.2,3.2
"PIERRE, SD",30.8,4,34.3,44.6,-10.3,1.0,-25.0,14.7,3.5,0.0,0.0,0.0,1.0,-0.02,0.02,2.2,3.1
"LOMPOC, CA",27.8,10,57.3,71.8,-14.5,1.0,-25.0,10.5,3.9,0.02,0.0,0.02,2.0,-0.05,0.07,0.8,3.1
"MIDDLEBURY, VT",20.0,1,37.2,41.6,-4.4,,,,,0.03,0.04,0.0,3.0,-0.6,0.6,3.1,3.1
"FORT WAYNE, IN",16.9,38,30.6,43.2,-12.6,1.0,-25.0,12.4,3.7,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,3.1
"JUNEAU, AK",9.1,2,34.4,19.0,15.4,,,,,0.02,0.01,0.0,3.0,-0.6,0.6,3.1,3.1
"WHEAT RIDGE, CO",3.0,2,11.7,5.9,5.8,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1
"KAILUA, HI",6.3,1,21.0,9.2,11.8,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1
"COEUR D'ALENE, ID",5.6,2,7.1,7.0,0.1,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1
"SOUTH BURLINGTON, VT",10.0,2,20.6,27.6,-7.0,,,,,0.03,0.01,0.01,3.0,-0.6,0.61,3.1,3.1
"STILLWATER, OK",5.9,2,27.9,23.4,4.5,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1
"RAPID CITY, SD",13.8,9,27.5,39.3,-11.8,1.0,-25.0,13.2,3.6,0.01,0.0,0.0,1.0,-0.02,0.02,1.5,3.1
"MANHATTAN, KS",4.9,2,36.6,5.7,31.0,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1
"MONTPELIER, VT",0.0,0,15.8,,,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1
"CARPINTERIA, CA",8.3,1,24.9,35.1,-10.3,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1
"MISSOULA, MT",5.9,4,26.9,33.7,-6.9,1.0,-25.0,18.1,3.1,0.1,0.05,0.04,3.0,-0.6,0.64,3.0,3.1
"WAUKESHA, WI",12.0,10,39.7,50.3,-10.6,1.0,-25.0,14.4,3.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,3.1
"BOISE, ID",4.7,7,8.6,7.1,1.5,,,,,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,3.1
"MARSHFIELD, WI",0.0,0,46.5,,,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1
"ASHLAND, WI",0.0,0,36.8,,,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,3.1
"ORONO, ME",0.0,0,24.6,,,,,,,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,3.1
"TRAVERSE CITY, MI",0.0,0,52.8,,,,,,,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.1
"BEND, OR",2.2,1,19.4,10.7,8.7,,,,,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,3.1
"BELLINGHAM, WA",2.0,1,32.5,44.8,-12.3,,,,,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.1
"TUSTIN, CA",9.1,8,11.1,15.6,-4.5,3.0,-15.0,10.5,3.1,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1
"GOLDEN, CO",0.0,0,13.2,,,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1
"BROOKINGS, SD",7.1,1,17.7,16.5,1.3,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1
"FORT COLLINS, CO",2.8,3,52.7,31.4,21.3,,,,,0.08,0.06,0.02,3.0,-0.6,0.62,3.1,3.1
"GRAND FORKS, ND",6.7,3,58.8,64.9,-6.1,1.0,-25.0,18.9,3.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.0
"BRATTLEBORO, VT",10.0,1,33.1,32.9,0.2,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.0,3.0
"WATERLOO, WI",0.0,0,29.6,,,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.0,3.0
"IOWA CITY, IA",6.8,3,38.0,44.4,-6.4,1.0,-25.0,18.6,3.1,0.07,0.03,0.04,3.0,-0.6,0.64,3.0,3.0
"PALO ALTO, CA",4.7,4,31.6,18.4,13.2,,,,,0.12,0.09,0.03,3.0,-0.6,0.63,3.0,3.0
"BOZEMAN, MT",3.0,1,40.0,28.1,11.9,,,,,0.07,0.04,0.03,3.0,-0.6,0.63,3.0,3.0
"LOS ALTOS, CA",4.2,3,23.3,24.7,-1.4,,,,,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,3.0
