City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"SPRINGDALE, AR",0.30%,41.8,"77,252",12.60%,1.7,0.1,12.40%,2.1,2.3,1.3
"ENID, OK",0.70%,73.7,"50,809",11.50%,5.5,0.3,13.00%,2.2,,1.0
"DUBUQUE, IA",0.40%,30.0,"58,410",20.80%,2.0,0.1,16.50%,2.7,2.2,1.6
"SOUTH BEND, IN",1.30%,41.5,"101,928",12.60%,7.8,0.4,15.80%,2.6,2.3,1.7
"CRESTED BUTTE, CO",41.10%,0.8,"1,385",51.00%,75.6,3.8,18.80%,3.1,3.6,3.5
"KALAMAZOO, MI",1.30%,24.7,"75,833",20.80%,5.5,0.3,16.80%,2.8,2.5,1.7
"SPRINGFIELD, MO",0.90%,81.7,"165,785",10.70%,7.9,0.4,16.80%,2.8,2.6,1.8
"SAN JUAN CAPISTRANO, CA",1.10%,14.1,"35,948",26.30%,3.6,0.2,15.70%,2.6,2.1,1.5
"CHARLOTTESVILLE, VA",4.20%,10.2,"46,487",26.30%,12.1,0.6,13.90%,2.3,2.5,1.7
"BENTONVILLE, AR",0.30%,31.3,"44,601",17.20%,1.6,0.1,12.60%,2.1,2.8,1.4
"WAUSAU, WI",0.50%,18.8,"38,934",26.30%,1.8,0.1,16.10%,2.7,2.6,1.6
"MEDFORD, OR",2.10%,25.7,"79,246",20.80%,9.0,0.5,14.20%,2.4,,1.1
"LEWISTON, ME",0.90%,34.1,"36,211",17.20%,4.8,0.2,12.60%,2.1,,0.9
"ARCATA, CA",6.60%,9.1,"17,814",26.30%,18.2,0.9,15.60%,2.6,,1.4
"JACKSON, WY",4.00%,2.9,"10,413",45.10%,8.3,0.4,18.80%,3.1,,1.4
"MARQUETTE, MI",2.30%,11.4,"21,081",26.30%,6.8,0.3,13.80%,2.3,2.7,1.6
"PIERRE, SD",0.10%,13.1,"13,974",26.30%,0.3,0.0,16.70%,2.8,,1.1
"LOMPOC, CA",1.20%,11.6,"43,762",26.30%,3.5,0.2,12.70%,2.1,1.8,1.3
"MIDDLEBURY, VT",3.60%,13.9,"7,024",26.30%,11.3,0.6,9.90%,1.6,2.2,1.3
"FORT WAYNE, IN",0.30%,110.6,"262,450",7.80%,3.2,0.2,17.90%,3.0,2.4,1.7
"JUNEAU, AK",1.40%,2701.9,"32,434",5.70%,24.0,1.2,15.30%,2.6,2.4,2.0
"WHEAT RIDGE, CO",1.60%,9.3,"31,162",26.30%,4.4,0.2,18.50%,3.1,2.5,1.8
"KAILUA, HI",2.40%,7.8,"38,088",37.00%,6.4,0.3,13.30%,2.2,2.2,1.5
"COEUR D'ALENE, ID",1.50%,15.6,"48,618",26.30%,5.1,0.3,15.70%,2.6,2.5,1.6
"SOUTH BURLINGTON, VT",2.00%,16.5,"18,773",26.30%,6.9,0.3,15.00%,2.5,2.5,1.6
"STILLWATER, OK",2.30%,29.5,"48,685",20.80%,11.0,0.6,12.00%,2.0,,1.0
"RAPID CITY, SD",0.40%,55.4,"72,841",12.60%,3.2,0.2,17.40%,2.9,2.3,1.7
"MANHATTAN, KS",2.50%,18.8,"55,427",26.30%,9.1,0.5,16.00%,2.7,2.1,1.7
"MONTPELIER, VT",1.50%,10.1,"7,584",26.30%,4.4,0.2,13.70%,2.3,,1.0
"CARPINTERIA, CA",2.40%,2.6,"13,593",45.10%,4.9,0.2,14.60%,2.4,2.5,1.6
"MISSOULA, MT",7.50%,27.5,"70,847",20.80%,34.0,1.7,16.60%,2.8,3.2,2.4
"WAUKESHA, WI",0.20%,24.8,"72,173",20.80%,1.0,0.1,17.90%,3.0,2.3,1.7
"BOISE, ID",3.00%,79.4,"220,859",11.50%,25.6,1.3,15.80%,2.6,3.0,2.2
"MARSHFIELD, WI",1.80%,13.5,"18,326",26.30%,5.6,0.3,15.80%,2.6,2.3,1.6
"ASHLAND, WI",1.20%,13.4,"7,997",26.30%,3.7,0.2,14.10%,2.3,,1.0
"ORONO, ME",1.50%,7.1,"9,667",37.00%,3.7,0.2,8.30%,1.4,2.6,1.1
"TRAVERSE CITY, MI",4.00%,8.3,"15,550",26.30%,10.9,0.5,14.50%,2.4,2.9,1.8
"BEND, OR",3.30%,33.0,"87,167",17.20%,16.5,0.8,16.00%,2.7,2.8,2.0
"BELLINGHAM, WA",4.10%,27.1,"85,388",20.80%,18.2,0.9,16.40%,2.7,3.0,2.1
"TUSTIN, CA",1.70%,11.1,"80,007",26.30%,4.9,0.2,13.70%,2.3,2.0,1.4
"GOLDEN, CO",2.30%,9.9,"20,365",26.30%,6.5,0.3,15.70%,2.6,2.9,1.7
"BROOKINGS, SD",2.20%,12.9,"23,471",26.30%,6.6,0.3,14.20%,2.4,2.5,1.6
"FORT COLLINS, CO",7.30%,54.3,"159,150",12.60%,52.2,2.6,17.00%,2.8,3.2,2.8
"GRAND FORKS, ND",1.40%,19.9,"56,236",26.30%,5.3,0.3,17.40%,2.9,,1.3
