City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"SPRINGDALE, AR",6.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2
"ENID, OK",3.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"DUBUQUE, IA",2.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"SOUTH BEND, IN",14.0,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.6,1.9
"CRESTED BUTTE, CO",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.8,2.8
"KALAMAZOO, MI",5.4,0.7,3.0,0.6,14.9,3.0,,,,,,,1.5,1.5,2.5,1.7
"SPRINGFIELD, MO",17.0,1.0,2.0,1.6,24.9,2.0,,,,,,,1.0,1.0,2.3,1.3
"SAN JUAN CAPISTRANO, CA",2.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"CHARLOTTESVILLE, VA",0.6,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.3,2.3
"BENTONVILLE, AR",2.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4
"WAUSAU, WI",0.8,0.2,4.0,0.0,0.0,5.0,8.5,2.2,3.0,1.5,174.4,0.0,3.5,2.5,2.7,2.9
"MEDFORD, OR",3.6,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"LEWISTON, ME",2.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"ARCATA, CA",0.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"JACKSON, WY",0.2,0.2,4.0,0.2,10.0,3.0,,,,,,,2.0,1.5,,1.4
"MARQUETTE, MI",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.4,2.7
"PIERRE, SD",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"LOMPOC, CA",0.8,0.2,4.0,0.0,0.0,5.0,9.0,2.1,4.0,1.5,83.8,1.0,4.0,3.0,2.5,3.3
"MIDDLEBURY, VT",0.6,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1
"FORT WAYNE, IN",27.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.7,1.9
"JUNEAU, AK",0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"WHEAT RIDGE, CO",2.0,0.6,3.0,0.2,8.8,4.0,,,,,,,1.5,2.0,2.4,1.9
"KAILUA, HI",2.0,0.5,3.0,0.2,4.9,4.0,,,,,,,1.5,2.0,2.2,1.8
"COEUR D'ALENE, ID",,,,,,,,,,,,,2.5,2.5,3.1,2.6
"SOUTH BURLINGTON, VT",0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"STILLWATER, OK",1.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"RAPID CITY, SD",3.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1
"MANHATTAN, KS",3.0,0.5,3.0,0.2,3.1,4.0,,,,,,,1.5,2.0,2.8,2.0
"MONTPELIER, VT",0.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"CARPINTERIA, CA",0.8,0.6,3.0,0.0,0.0,5.0,3.0,2.2,3.0,1.0,70.9,2.0,3.0,3.5,3.0,3.2
"MISSOULA, MT",2.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"WAUKESHA, WI",2.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"BOISE, ID",12.8,0.6,3.0,1.0,3.2,4.0,,,,,,,1.5,2.0,2.9,2.0
