Places_ID_2019,City,City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance,ACS Points,Total Reach Points,Bonus,Total Ponts
363,"SPRINGDALE, ARKANSAS","SPRINGDALE, AR",0.30%,41.8,"77,252",12.60%,1.7,0.1,12.40%,2.1,2.3,1.3,6.2,0.8,3,0,0,5,,,,,,,1.5,2.5,2.9,2.2,3,3.2,3,23.2,2,3.2,2.2,13.4,9,19.2,33.9,-14.7,3,-15,0.3,4.9,0.01,0,0.01,1,-0.02,0.03,1,4,0.5,3
116,"ENID, OKLAHOMA","ENID, OK",0.70%,73.7,"50,809",11.50%,5.5,0.3,13.00%,2.2,,1,3.6,0.7,3,0,0,5,,,,,,,1.5,2.5,,1.6,,,,61.4,4,,3.2,14.6,6,54.7,77,-22.4,1,-25,2.6,4.7,0.01,0,0.01,2,-0.05,0.06,1.2,3.8,0,2.4
108,"DUBUQUE, IOWA","DUBUQUE, IA",0.40%,30,"58,410",20.80%,2,0.1,16.50%,2.7,2.2,1.6,2.2,0.4,4,0,0,5,,,,,,,2,2.5,2.6,2.3,,2.4,0.5,21,2,2.8,2.2,7.6,5,22.2,38.8,-16.6,2,-20,3.4,4.5,0,0,0,1,-0.02,0.02,1.7,3.8,0,2.1
357,"SOUTH BEND, INDIANA","SOUTH BEND, IN",1.30%,41.5,"101,928",12.60%,7.8,0.4,15.80%,2.6,2.3,1.7,14,1.4,2,0,0,5,,,,,,,1,2.5,2.6,1.9,,2.9,0.6,38.1,2,2.5,2.1,17.8,24,36,51,-15,1,-25,10,4,0.02,0.01,0.02,3,-0.6,0.62,3.1,3.7,0,2
1205,"CRESTED BUTTE, COLORADO","CRESTED BUTTE, CO",41.10%,0.8,"1,385",51.00%,75.6,3.8,18.80%,3.1,3.6,3.5,0,0,5,0,0,5,,,,,,,2.5,2.5,3.8,2.8,,3.6,0.7,28.8,2,4.4,2.5,0,0,27.4,,,,,,,0.36,0.52,-0.16,3,-0.6,0.44,3.6,3.6,0,2.6
181,"KALAMAZOO, MICHIGAN","KALAMAZOO, MI",1.30%,24.7,"75,833",20.80%,5.5,0.3,16.80%,2.8,2.5,1.7,5.4,0.7,3,0.6,14.9,3,,,,,,,1.5,1.5,2.5,1.7,,2.8,0.6,34.9,2,2.9,2.2,21.2,21,37.3,49.9,-12.6,1,-25,12.4,3.7,0.02,0,0.02,3,-0.6,0.62,3.1,3.6,0,1.9
365,"SPRINGFIELD, MISSOURI","SPRINGFIELD, MO",0.90%,81.7,"165,785",10.70%,7.9,0.4,16.80%,2.8,2.6,1.8,17,1,2,1.6,24.9,2,,,,,,,1,1,2.3,1.3,,2.7,0.5,30,2,2.9,2.2,8.6,12,25,40.2,-15.2,2,-20,4.8,4.2,0.01,0,0.01,2,-0.05,0.06,1.3,3.5,0,1.9
1682,"SAN JUAN CAPISTRANO, CALIFORNIA","SAN JUAN CAPISTRANO, CA",1.10%,14.1,"35,948",26.30%,3.6,0.2,15.70%,2.6,2.1,1.5,2.2,0.6,3,0,0,5,,,,,,,1.5,2.5,2.8,2.2,,1.7,0.3,20.8,2,2.7,2.1,8.9,4,11.7,22.6,-11,3,-15,4,4.3,0.02,0,0.02,2,-0.05,0.07,0.8,3.4,0,1.9
70,"CHARLOTTESVILLE, VIRGINIA","CHARLOTTESVILLE, VA",4.20%,10.2,"46,487",26.30%,12.1,0.6,13.90%,2.3,2.5,1.7,0.6,0.1,4,0,0,5,,,,,,,2,2.5,2.3,2.3,,2.4,0.5,16,1,2.6,1.3,11.9,5,15.3,21.7,-6.4,3,-15,8.6,3.4,0.05,0.03,0.02,3,-0.6,0.62,3.1,3.3,0,1.8
30,"BENTONVILLE, ARKANSAS","BENTONVILLE, AR",0.30%,31.3,"44,601",17.20%,1.6,0.1,12.60%,2.1,2.8,1.4,2,0.4,4,0,0,5,,,,,,,2,2.5,3.1,2.4,3.7,3.9,3.7,32.3,2,3.8,2.4,6.6,4,21.9,35.8,-13.9,2,-20,6.1,4,0.01,0,0,1,-0.02,0.02,1.2,3.3,0.5,3.1
404,"WAUSAU, WISCONSIN","WAUSAU, WI",0.50%,18.8,"38,934",26.30%,1.8,0.1,16.10%,2.7,2.6,1.6,0.8,0.2,4,0,0,5,8.5,2.2,3,1.5,174.4,0,3.5,2.5,2.7,2.9,1.4,3.2,1.8,37.1,2,3.3,2.3,13,6,35.7,49.3,-13.6,1,-25,11.4,3.8,0.01,0,0.01,2,-0.05,0.06,1.5,3.2,0.5,2.9
1078,"MEDFORD, OREGON","MEDFORD, OR",2.10%,25.7,"79,246",20.80%,9,0.5,14.20%,2.4,,1.1,3.6,0.5,4,0,0,5,,,,,,,2,2.5,,1.8,,,,28.3,2,,1.6,5.8,3,26,35.2,-9.2,2,-20,10.8,3.3,0.03,0.01,0.03,3,-0.6,0.63,3,3.2,0,1.9
1278,"LEWISTON, MAINE","LEWISTON, ME",0.90%,34.1,"36,211",17.20%,4.8,0.2,12.60%,2.1,,0.9,2,0.6,3,0,0,5,,,,,,,1.5,2.5,,1.6,,,,44.3,3,,2.4,12,3,35.9,50.2,-14.3,1,-25,10.7,3.9,0.01,0,0.01,2,-0.05,0.06,1.3,3.2,0,2
586,"ARCATA, CALIFORNIA","ARCATA, CA",6.60%,9.1,"17,814",26.30%,18.2,0.9,15.60%,2.6,,1.4,0.8,0.4,4,0,0,5,,,,,,,2,2.5,,1.8,1.2,,1,62.9,4,,3.2,0,0,45.4,,,,,,,0.06,0.07,-0.01,3,-0.6,0.59,3.2,3.2,0,2.1
761,"JACKSON, WYOMING","JACKSON, WY",4.00%,2.9,"10,413",45.10%,8.3,0.4,18.80%,3.1,,1.4,0.2,0.2,4,0.2,10,3,,,,,,,2,1.5,,1.4,,,,66.3,4,,3.2,10,1,67.2,64.8,2.4,,,,,0.04,0.05,-0.01,3,-0.6,0.59,3.2,3.2,0,2.3
218,"MARQUETTE, MICHIGAN","MARQUETTE, MI",2.30%,11.4,"21,081",26.30%,6.8,0.3,13.80%,2.3,2.7,1.6,0,0,5,0,0,5,,,,,,,2.5,2.5,3.4,2.7,0.2,3.1,0.7,67.2,4,3.8,4,7.1,2,56.2,25.9,30.3,,,,,0.02,0.03,-0.01,3,-0.6,0.59,3.2,3.2,0.5,2.9
2386,"PIERRE, SOUTH DAKOTA","PIERRE, SD",0.10%,13.1,"13,974",26.30%,0.3,0,16.70%,2.8,,1.1,0.2,0.1,4,0,0,5,,,,,,,2,2.5,,1.8,,,,36.4,2,,1.6,30.8,4,34.3,44.6,-10.3,1,-25,14.7,3.5,0,0,0,1,-0.02,0.02,2.2,3.1,0,1.9
3905,"LOMPOC, CALIFORNIA","LOMPOC, CA",1.20%,11.6,"43,762",26.30%,3.5,0.2,12.70%,2.1,1.8,1.3,0.8,0.2,4,0,0,5,9,2.1,4,1.5,83.8,1,4,3,2.5,3.3,0.9,2.7,1.3,59.5,3,2.8,3,27.8,10,57.3,71.8,-14.5,1,-25,10.5,3.9,0.02,0,0.02,2,-0.05,0.07,0.8,3.1,0.5,2.9
1081,"MIDDLEBURY, VERMONT","MIDDLEBURY, VT",3.60%,13.9,"7,024",26.30%,11.3,0.6,9.90%,1.6,2.2,1.3,0.6,0.9,3,0,0,5,,,,,,,1.5,2.5,2.5,2.1,,2.2,0.4,41.7,3,2.2,2.8,20,1,37.2,41.6,-4.4,,,,,0.03,0.04,0,3,-0.6,0.6,3.1,3.1,0,2
135,"FORT WAYNE, INDIANA","FORT WAYNE, IN",0.30%,110.6,"262,450",7.80%,3.2,0.2,17.90%,3,2.4,1.7,27.2,1,2,0,0,5,,,,,,,1,2.5,2.7,1.9,,3.2,0.6,28.9,2,2.9,2.2,16.9,38,30.6,43.2,-12.6,1,-25,12.4,3.7,0.01,0,0,1,-0.02,0.02,1.3,3.1,0,1.9
687,"JUNEAU, ALASKA","JUNEAU, AK",1.40%,2701.9,"32,434",5.70%,24,1.2,15.30%,2.6,2.4,2,0.8,0.2,4,0,0,5,,,,,,,2,2.5,2.9,2.4,,2.3,0.5,36.3,2,2.8,2.2,9.1,2,34.4,19,15.4,,,,,0.02,0.01,0,3,-0.6,0.6,3.1,3.1,0,2
412,"WHEAT RIDGE, COLORADO","WHEAT RIDGE, CO",1.60%,9.3,"31,162",26.30%,4.4,0.2,18.50%,3.1,2.5,1.8,2,0.6,3,0.2,8.8,4,,,,,,,1.5,2,2.4,1.9,,2.6,0.5,13.1,1,2.7,1.3,3,2,11.7,5.9,5.8,,,,,0.02,0.01,0.01,3,-0.6,0.61,3.1,3.1,0,1.7
180,"KAILUA, HAWAII","KAILUA, HI",2.40%,7.8,"38,088",37.00%,6.4,0.3,13.30%,2.2,2.2,1.5,2,0.5,3,0.2,4.9,4,,,,,,,1.5,2,2.2,1.8,,2.1,0.4,28.3,2,2,2,6.3,1,21,9.2,11.8,,,,,0.03,0.02,0.01,3,-0.6,0.61,3.1,3.1,0,1.8
